#{"t_start": 1768084357.9020345, "env_id": "LunarLander-v3"}
r,l,t
131.76755,903,200.681886
-105.414102,447,200.974036
183.38163,911,201.612148
-135.874,160,201.729925
-53.11429,1000,202.463008
-132.607576,120,202.553434
-192.841557,401,202.872711
-195.988294,295,203.092721
-138.077354,219,203.248878
-63.969439,246,203.415947
-171.332878,249,203.580541
-195.824926,226,203.727768
-148.760451,98,203.787971
-196.748236,265,203.959987
-201.739088,214,204.099208
-171.236014,129,204.178804
-176.202796,146,204.271017
-169.095021,535,204.635458
-225.365832,200,204.771393
-192.213195,163,204.874485
-67.873534,1000,205.526793
-90.049968,256,205.701566
-201.414125,159,205.808733
-195.55938,161,205.90964
-60.262141,148,206.007395
-58.306923,184,206.128405
-129.283706,375,206.375005
-206.051679,160,206.475879
-222.132596,979,207.122402
-209.078193,183,207.241666
-192.754118,97,207.310644
-67.720425,293,207.505952
-82.081685,149,207.602857
-208.402746,107,207.67515
-109.278285,296,207.867963
-93.686819,278,208.047714
-219.258023,119,208.124679
-70.947741,202,208.253736
-227.022531,181,208.376279
-226.345232,847,208.922009
-227.917383,164,209.03579
-204.20355,108,209.106354
-93.366053,263,209.282144
-176.943229,105,209.352982
-254.249539,375,209.596494
-94.443225,200,209.724174
-203.265755,106,209.79443
-178.286773,506,210.119416
-262.582949,406,210.377131
-193.398513,96,210.440032
-88.271289,165,210.55076
-211.199505,97,210.621509
-81.950184,183,210.740613
-93.474652,205,210.913337
-200.340654,97,210.982482
-242.133166,201,211.111494
-261.46845,472,211.442714
-103.5486,166,211.551222
-208.949696,136,211.642318
-138.309476,449,211.947329
-144.22927,370,212.192183
-133.45092,326,212.408209
-249.868416,231,212.565274
-150.691714,419,212.849756
-70.638702,233,213.023893
-119.633862,312,213.22088
-204.587385,116,213.299171
-111.500128,326,213.507987
-144.208901,645,213.939672
-185.126557,117,214.025559
-203.613377,122,214.104596
-96.828862,176,214.217935
-197.296622,96,214.284786
-83.150296,182,214.402633
-211.388077,279,214.599817
-231.023449,142,214.705747
-213.972961,134,214.790593
-80.29545,187,214.911507
-187.731817,96,214.979287
-191.675684,148,215.075841
-204.134942,144,215.168179
-217.973377,175,215.281748
-105.325411,301,215.482453
-186.504481,96,215.553411
-73.399908,229,215.70088
-98.83517,234,215.850454
-144.843557,498,216.180164
-172.724692,123,216.258634
-153.658111,360,216.492131
-129.690345,402,216.755284
-183.265235,418,217.026867
-132.74644,449,217.312675
-165.586469,110,217.382052
-121.875267,185,217.496987
-129.184113,387,217.753107
-162.332583,119,217.828795
-125.453142,278,218.004696
-71.530081,172,218.112228
-164.57689,115,218.186384
-96.289166,267,218.353242
-169.314316,426,218.615699
-108.155366,254,218.772835
-164.483455,245,218.926922
-189.347616,180,219.040027
-169.331333,132,219.121122
-84.77345,204,219.249173
-73.36958,219,219.38962
-154.19285,440,219.66195
-141.793773,498,219.977311
-120.855375,272,220.147581
-70.164432,172,220.260936
-113.444323,214,220.395706
-129.937132,423,220.660807
-164.248006,190,220.790788
-88.217879,183,220.930323
-160.621879,123,221.026337
-108.220813,292,221.241519
-131.377632,268,221.443161
-165.352843,116,221.540994
-117.658133,190,221.67304
-154.970035,242,221.829757
-173.849309,97,221.892765
-155.409177,557,222.260859
-148.173078,353,222.509604
-97.223554,229,222.678775
-170.226321,348,222.950207
-84.83788,216,223.093525
-78.019469,205,223.225226
-113.923583,203,223.358417
-80.296666,215,223.498518
-80.557403,240,223.65625
-160.218128,95,223.721198
-157.430357,577,224.102086
-129.809306,290,224.299269
-164.6592,149,224.42699
-96.699991,257,224.60253
-140.533783,428,224.898374
-150.417012,107,224.968224
-167.811769,400,225.219635
-146.991009,133,225.304489
-73.080266,190,225.425893
-158.353296,329,225.642452
-167.794813,187,225.7706
-146.910917,463,226.073762
-85.762562,283,226.256741
-182.273719,157,226.367776
-157.291108,437,226.648841
-178.385461,181,226.761116
-153.281243,392,227.013633
-105.356313,265,227.184988
-121.532839,352,227.422751
-102.186205,273,227.593695
-177.394557,510,227.919484
-156.242536,131,228.005285
-122.244513,343,228.225687
-181.279594,166,228.33693
-73.781405,232,228.484145
-177.118743,573,228.856552
-146.07655,116,228.933148
-131.925192,366,229.169431
-98.537888,297,229.36121
-113.567415,304,229.553566
-165.113209,392,229.810449
-109.864654,285,229.994695
-82.036259,267,230.162843
-159.810041,202,230.294197
-103.120075,267,230.467581
-144.543987,395,230.730053
-149.006883,132,230.813726
