#{"t_start": 1768085098.483219, "env_id": "LunarLander-v3"}
r,l,t
261.285396,260,279.561033
238.137301,239,279.758249
265.509456,275,279.985391
59.267749,164,280.121115
38.812886,236,280.308718
263.930469,260,280.561008
238.794949,310,280.814496
251.715724,259,281.020505
247.68388,294,281.271344
270.221138,263,281.495578
33.882468,227,281.678497
220.388557,279,281.905925
262.948047,267,282.123686
242.205871,312,282.383988
269.506355,447,282.762416
67.854621,228,282.950234
219.188577,304,283.211435
248.717152,328,283.484851
256.976424,268,283.707548
110.732245,1000,284.539094
290.171363,262,284.750071
24.268375,214,284.924159
76.051181,203,285.102613
291.79588,477,285.489793
36.69393,204,285.653287
273.002928,352,285.951101
214.816121,340,286.222427
293.635941,312,286.479096
265.966672,321,286.744957
-0.163888,203,286.943813
259.224166,288,287.173421
295.541667,473,287.570779
228.991271,377,287.882288
240.11072,317,288.162899
296.412282,387,288.476218
232.413957,287,288.71216
214.19159,945,289.487107
262.729905,282,289.713627
244.948918,250,289.909654
284.84025,301,290.150949
252.952233,258,290.362539
242.600766,299,290.609202
9.469639,237,290.805763
265.115734,678,291.358274
242.852102,283,291.604542
251.832742,359,291.898424
253.279596,249,292.093921
278.57817,331,292.372593
254.630929,319,292.668715
257.676868,280,292.898474
248.132835,295,293.145457
260.245304,240,293.338987
278.516123,291,293.57606
258.481609,367,293.87082
264.157279,288,294.105778
236.024723,355,294.388678
271.398568,259,294.605213
279.103845,296,294.853369
294.317987,300,295.108009
256.943895,323,295.37754
244.835045,372,295.691209
289.423674,307,295.951275
268.090776,346,296.225279
253.237458,273,296.445745
67.000215,227,296.625822
294.905847,323,296.895534
224.062222,297,297.131819
279.31392,274,297.351797
241.237067,277,297.57456
243.214271,494,297.985628
237.89407,325,298.243359
243.016085,353,298.529356
274.472568,310,298.901396
266.112631,247,299.12398
251.983012,360,299.441728
25.137017,177,299.597137
290.487004,320,299.870804
238.349637,411,300.200602
260.821013,232,300.386559
258.61881,344,300.655915
291.729092,291,300.893444
253.859107,316,301.157489
266.101269,312,301.414832
248.176136,336,301.71077
31.150724,265,302.002077
261.287238,277,302.253882
254.097723,287,302.516414
273.720036,291,302.771289
231.507847,277,303.004997
269.784412,385,303.338821
241.602469,322,303.595544
272.143083,318,303.851613
257.050929,309,304.111416
271.531209,347,304.396566
270.046414,292,304.630901
230.683192,321,304.889574
58.535798,178,305.030143
222.195692,276,305.270438
241.559716,339,305.549501
244.637169,284,305.778016
49.117931,207,305.945935
233.056543,295,306.190043
69.151401,206,306.353992
260.754138,240,306.550298
56.911805,208,306.712734
298.140158,276,306.941393
261.821537,359,307.218847
45.598868,224,307.399561
245.105594,253,307.604918
287.205182,259,307.816153
78.966255,225,307.991738
245.668237,343,308.258157
256.809067,314,308.503588
239.356506,274,308.720726
230.9484,288,308.95383
263.335907,330,309.218693
254.586627,284,309.444487
216.508356,792,310.087173
205.85,280,310.306718
241.855327,442,310.696139
238.052422,303,310.948579
223.421816,440,311.299864
253.072089,366,311.592754
267.922073,310,311.852115
270.054927,278,312.079105
-18.375676,278,312.297005
243.889356,359,312.590153
248.943843,272,312.84427
240.981,351,313.123605
203.804762,295,313.368748
263.771559,287,313.601973
162.446435,447,313.953454
263.07765,323,314.228013
-68.740621,330,314.496897
231.2981,376,314.795074
1.03115,247,314.993542
-114.904591,640,315.569595
298.290253,315,315.826036
213.476941,408,316.163585
98.477629,1000,317.003131
227.636119,527,317.430509
270.656586,265,317.644202
271.396637,286,317.868426
-113.228145,694,318.429955
239.148625,372,318.729821
260.641864,353,319.030726
217.277778,501,319.466909
209.903081,406,319.823802
225.847959,353,320.103096
241.814071,387,320.414183
258.346846,281,320.644546
251.476321,332,320.907458
225.712738,320,321.194595
262.59873,337,321.479435
244.707469,323,321.764096
217.15821,332,322.033612
220.173826,513,322.449774
257.861695,446,322.850111
265.685421,311,323.100779
243.194578,491,323.502778
234.615416,370,323.797526
234.278436,363,324.099123
47.273415,189,324.24752
204.35502,382,324.564018
221.771383,413,324.925443
226.648241,373,325.256792
215.41281,474,325.657044
27.95935,271,325.877354
263.481631,410,326.216875
222.267649,486,326.607096
257.093322,212,326.77705
47.170655,224,326.971053
264.96153,407,327.319729
33.737546,204,327.495546
242.05978,447,327.861764
229.135216,356,328.157192
255.506403,311,328.408894
38.253259,224,328.597677
278.767944,445,328.96069
